province,city,city_code,station,station_code,level,pollutions,aqi,so2,so2_24h,no2,no2_24h,co,co_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,longitude,latitude,pubtime
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),60.0,13.0,10.0,46.0,26.0,0.7,0.7,18.0,181.0,84.0,143.0,70.0,55.0,37.0,32.0,112.4722,23.0786,2017-09-01 00:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),61.0,14.0,11.0,57.0,26.0,0.8,0.7,8.0,181.0,8.0,8.0,72.0,56.0,40.0,33.0,112.4722,23.0786,2017-09-01 01:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),58.0,18.0,11.0,50.0,27.0,0.8,0.7,15.0,181.0,12.0,12.0,65.0,58.0,40.0,34.0,112.4722,23.0786,2017-09-01 02:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),65.0,25.0,11.0,57.0,29.0,0.9,0.7,5.0,181.0,9.0,12.0,79.0,59.0,44.0,34.0,112.4722,23.0786,2017-09-01 03:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,"颗粒物(PM10),细颗粒物(PM2.5)",60.0,27.0,12.0,52.0,30.0,0.8,0.7,9.0,181.0,9.0,12.0,70.0,61.0,43.0,35.0,112.4722,23.0786,2017-09-01 04:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),63.0,27.0,13.0,55.0,31.0,0.8,0.7,4.0,181.0,8.0,12.0,74.0,62.0,45.0,36.0,112.4722,23.0786,2017-09-01 05:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,细颗粒物(PM2.5),59.0,22.0,13.0,50.0,31.0,0.8,0.7,4.0,181.0,8.0,12.0,64.0,63.0,42.0,36.0,112.4722,23.0786,2017-09-01 06:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),60.0,22.0,13.0,50.0,32.0,0.8,0.7,6.0,181.0,7.0,12.0,70.0,63.0,42.0,35.0,112.4722,23.0786,2017-09-01 07:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),60.0,18.0,14.0,38.0,32.0,0.8,0.7,13.0,181.0,8.0,12.0,70.0,64.0,41.0,35.0,112.4722,23.0786,2017-09-01 08:00:00
广东省,肇庆市,441200,七星岩子站,1400A,,颗粒物(PM10),67.0,21.0,14.0,39.0,33.0,0.8,0.7,25.0,181.0,10.0,12.0,83.0,66.0,47.0,36.0,112.4722,23.0786,2017-09-01 09:00:00
